08:58:38 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:58:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:58:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:58:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:58:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:58:38 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
08:58:38 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:39 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
08:58:40 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 67.087890625 ms
08:58:45 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 72.884765625 ms
08:58:49 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:49 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:49 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
08:58:50 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
