17:30:25 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:25 [extension:page:home.html] WARNING  Warning: componentWillReceiveProps has been renamed, and is not recommended for use. See https://reactjs.org/link/unsafe-component-lifecycles for details.

* Move data fetching code or side effects to componentDidUpdate.
* If you're updating state whenever props change, refactor your code to use memoization techniques or move it to static getDerivedStateFromProps. Learn more at: https://reactjs.org/link/derived-state
* Rename componentWillReceiveProps to UNSAFE_componentWillReceiveProps to suppress this warning in non-strict mode. In React 18.x, only the UNSAFE_ name will work. To rename all deprecated lifecycles to their new names, you can run `npx react-codemod rename-unsafe-lifecycles` in your project source folder.

Please update the following components: %s t
17:30:26 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:26 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:26 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 64.406005859375 ms
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:28 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
